,season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
0,1985,1,mclaren,0.0,0.0,0.0
1,1985,1,ferrari,0.0,0.0,0.0
2,1985,1,team_lotus,0.0,0.0,0.0
3,1985,1,renault,0.0,0.0,0.0
4,1985,1,ligier,0.0,0.0,0.0
5,1985,1,tyrrell,0.0,0.0,0.0
6,1985,1,ram,0.0,0.0,0.0
7,1985,1,arrows,0.0,0.0,0.0
8,1985,1,osella,0.0,0.0,0.0
9,1985,1,alfa,0.0,0.0,0.0
10,1985,1,minardi,0.0,0.0,0.0
11,1985,1,williams,0.0,0.0,0.0
12,1985,1,brabham,0.0,0.0,0.0
13,1985,1,spirit,0.0,0.0,0.0
14,1985,2,team_lotus,4.0,0.0,3.0
15,1985,2,ferrari,9.0,0.0,2.0
16,1985,2,mclaren,9.0,1.0,1.0
17,1985,2,renault,2.0,0.0,4.0
18,1985,2,williams,0.0,0.0,12.0
19,1985,2,tyrrell,0.0,0.0,6.0
20,1985,2,ligier,1.0,0.0,5.0
21,1985,2,osella,0.0,0.0,9.0
22,1985,2,ram,0.0,0.0,7.0
23,1985,2,arrows,0.0,0.0,8.0
24,1985,2,alfa,0.0,0.0,10.0
25,1985,2,brabham,0.0,0.0,13.0
26,1985,2,minardi,0.0,0.0,11.0
27,1985,2,spirit,0.0,0.0,14.0
28,1985,2,zakspeed,0.0,0.0,0.0
29,1985,3,team_lotus,16.0,1.0,1.0
30,1985,3,ferrari,15.0,0.0,2.0
31,1985,3,mclaren,9.0,1.0,3.0
32,1985,3,renault,6.0,0.0,4.0
33,1985,3,arrows,0.0,0.0,10.0
34,1985,3,williams,2.0,0.0,5.0
35,1985,3,tyrrell,1.0,0.0,6.0
36,1985,3,ligier,1.0,0.0,7.0
37,1985,3,brabham,0.0,0.0,12.0
38,1985,3,osella,0.0,0.0,8.0
39,1985,3,ram,0.0,0.0,9.0
40,1985,3,alfa,0.0,0.0,11.0
41,1985,3,minardi,0.0,0.0,13.0
42,1985,3,spirit,0.0,0.0,14.0
43,1985,3,zakspeed,0.0,0.0,15.0
44,1985,4,team_lotus,25.0,2.0,1.0
45,1985,4,ferrari,16.0,0.0,2.0
46,1985,4,mclaren,12.0,1.0,3.0
47,1985,4,renault,10.0,0.0,4.0
48,1985,4,arrows,6.0,0.0,5.0
49,1985,4,ligier,1.0,0.0,8.0
50,1985,4,williams,4.0,0.0,6.0
51,1985,4,tyrrell,1.0,0.0,7.0
52,1985,4,brabham,0.0,0.0,9.0
53,1985,4,osella,0.0,0.0,10.0
54,1985,4,ram,0.0,0.0,11.0
55,1985,4,zakspeed,0.0,0.0,15.0
56,1985,4,alfa,0.0,0.0,12.0
57,1985,4,toleman,0.0,0.0,0.0
58,1985,4,minardi,0.0,0.0,13.0
59,1985,4,spirit,0.0,0.0,14.0
60,1985,5,ferrari,22.0,0.0,2.0
61,1985,5,team_lotus,29.0,2.0,1.0
62,1985,5,mclaren,21.0,2.0,3.0
63,1985,5,renault,12.0,0.0,4.0
64,1985,5,williams,4.0,0.0,7.0
65,1985,5,arrows,6.0,0.0,5.0
66,1985,5,ligier,5.0,0.0,6.0
67,1985,5,tyrrell,1.0,0.0,8.0
68,1985,5,brabham,0.0,0.0,9.0
69,1985,5,osella,0.0,0.0,10.0
70,1985,5,ram,0.0,0.0,11.0
71,1985,5,alfa,0.0,0.0,13.0
72,1985,5,zakspeed,0.0,0.0,12.0
73,1985,5,toleman,0.0,0.0,14.0
74,1985,5,minardi,0.0,0.0,15.0
75,1985,5,spirit,0.0,0.0,16.0
76,1985,6,ferrari,37.0,1.0,1.0
77,1985,6,team_lotus,31.0,2.0,2.0
78,1985,6,mclaren,25.0,2.0,3.0
79,1985,6,williams,8.0,0.0,5.0
80,1985,6,renault,12.0,0.0,4.0
81,1985,6,arrows,6.0,0.0,6.0
82,1985,6,ligier,5.0,0.0,7.0
83,1985,6,tyrrell,1.0,0.0,8.0
84,1985,6,brabham,0.0,0.0,9.0
85,1985,6,alfa,0.0,0.0,12.0
86,1985,6,osella,0.0,0.0,10.0
87,1985,6,ram,0.0,0.0,11.0
88,1985,6,zakspeed,0.0,0.0,13.0
89,1985,6,toleman,0.0,0.0,14.0
90,1985,6,minardi,0.0,0.0,15.0
91,1985,6,spirit,0.0,0.0,16.0
92,1985,7,ferrari,47.0,1.0,1.0
93,1985,7,team_lotus,33.0,2.0,2.0
94,1985,7,mclaren,25.0,2.0,3.0
95,1985,7,williams,17.0,1.0,4.0
96,1985,7,renault,12.0,0.0,5.0
97,1985,7,brabham,1.0,0.0,9.0
98,1985,7,arrows,6.0,0.0,6.0
99,1985,7,ligier,5.0,0.0,7.0
100,1985,7,tyrrell,4.0,0.0,8.0
101,1985,7,alfa,0.0,0.0,10.0
102,1985,7,ram,0.0,0.0,12.0
103,1985,7,osella,0.0,0.0,11.0
104,1985,7,zakspeed,0.0,0.0,13.0
105,1985,7,toleman,0.0,0.0,14.0
106,1985,7,minardi,0.0,0.0,15.0
107,1985,7,spirit,0.0,0.0,16.0
108,1985,8,ferrari,50.0,1.0,1.0
