,season,round,circuit_id,lat,long,country,date,url
0,1985,1,jacarepagua,-22.9756,-43.395,Brazil,1985-04-07,http://en.wikipedia.org/wiki/1985_Brazilian_Grand_Prix
1,1985,2,estoril,38.7506,-9.39417,Portugal,1985-04-21,http://en.wikipedia.org/wiki/1985_Portuguese_Grand_Prix
2,1985,3,imola,44.3439,11.7167,Italy,1985-05-05,http://en.wikipedia.org/wiki/1985_San_Marino_Grand_Prix
3,1985,4,monaco,43.7347,7.42056,Monaco,1985-05-19,http://en.wikipedia.org/wiki/1985_Monaco_Grand_Prix
4,1985,5,villeneuve,45.5,-73.5228,Canada,1985-06-16,http://en.wikipedia.org/wiki/1985_Canadian_Grand_Prix
5,1985,6,detroit,42.3298,-83.0401,USA,1985-06-23,http://en.wikipedia.org/wiki/1985_Detroit_Grand_Prix
6,1985,7,ricard,43.2506,5.79167,France,1985-07-07,http://en.wikipedia.org/wiki/1985_French_Grand_Prix
7,1985,8,silverstone,52.0786,-1.01694,UK,1985-07-21,http://en.wikipedia.org/wiki/1985_British_Grand_Prix
8,1985,9,nurburgring,50.3356,6.9475,Germany,1985-08-04,http://en.wikipedia.org/wiki/1985_German_Grand_Prix
9,1985,10,osterreichring,47.2197,14.7647,Austria,1985-08-18,http://en.wikipedia.org/wiki/1985_Austrian_Grand_Prix
10,1985,11,zandvoort,52.3888,4.54092,Netherlands,1985-08-25,http://en.wikipedia.org/wiki/1985_Dutch_Grand_Prix
11,1985,12,monza,45.6156,9.28111,Italy,1985-09-08,http://en.wikipedia.org/wiki/1985_Italian_Grand_Prix
12,1985,13,spa,50.4372,5.97139,Belgium,1985-09-15,http://en.wikipedia.org/wiki/1985_Belgian_Grand_Prix
13,1985,14,brands_hatch,51.3569,0.263056,UK,1985-10-06,http://en.wikipedia.org/wiki/1985_European_Grand_Prix
14,1985,15,kyalami,-25.9894,28.0767,South Africa,1985-10-19,http://en.wikipedia.org/wiki/1985_South_African_Grand_Prix
15,1985,16,adelaide,-34.9272,138.617,Australia,1985-11-03,http://en.wikipedia.org/wiki/1985_Australian_Grand_Prix
16,1986,1,jacarepagua,-22.9756,-43.395,Brazil,1986-03-23,http://en.wikipedia.org/wiki/1986_Brazilian_Grand_Prix
17,1986,2,jerez,36.7083,-6.03417,Spain,1986-04-13,http://en.wikipedia.org/wiki/1986_Spanish_Grand_Prix
18,1986,3,imola,44.3439,11.7167,Italy,1986-04-27,http://en.wikipedia.org/wiki/1986_San_Marino_Grand_Prix
19,1986,4,monaco,43.7347,7.42056,Monaco,1986-05-11,http://en.wikipedia.org/wiki/1986_Monaco_Grand_Prix
20,1986,5,spa,50.4372,5.97139,Belgium,1986-05-25,http://en.wikipedia.org/wiki/1986_Belgian_Grand_Prix
21,1986,6,villeneuve,45.5,-73.5228,Canada,1986-06-15,http://en.wikipedia.org/wiki/1986_Canadian_Grand_Prix
22,1986,7,detroit,42.3298,-83.0401,USA,1986-06-22,http://en.wikipedia.org/wiki/1986_Detroit_Grand_Prix
23,1986,8,ricard,43.2506,5.79167,France,1986-07-06,http://en.wikipedia.org/wiki/1986_French_Grand_Prix
24,1986,9,brands_hatch,51.3569,0.263056,UK,1986-07-13,http://en.wikipedia.org/wiki/1986_British_Grand_Prix
25,1986,10,hockenheimring,49.3278,8.56583,Germany,1986-07-27,http://en.wikipedia.org/wiki/1986_German_Grand_Prix
26,1986,11,hungaroring,47.5789,19.2486,Hungary,1986-08-10,http://en.wikipedia.org/wiki/1986_Hungarian_Grand_Prix
27,1986,12,osterreichring,47.2197,14.7647,Austria,1986-08-17,http://en.wikipedia.org/wiki/1986_Austrian_Grand_Prix
28,1986,13,monza,45.6156,9.28111,Italy,1986-09-07,http://en.wikipedia.org/wiki/1986_Italian_Grand_Prix
29,1986,14,estoril,38.7506,-9.39417,Portugal,1986-09-21,http://en.wikipedia.org/wiki/1986_Portuguese_Grand_Prix
30,1986,15,rodriguez,19.4042,-99.0907,Mexico,1986-10-12,http://en.wikipedia.org/wiki/1986_Mexican_Grand_Prix
31,1986,16,adelaide,-34.9272,138.617,Australia,1986-10-26,http://en.wikipedia.org/wiki/1986_Australian_Grand_Prix
32,1987,1,jacarepagua,-22.9756,-43.395,Brazil,1987-04-12,http://en.wikipedia.org/wiki/1987_Brazilian_Grand_Prix
33,1987,2,imola,44.3439,11.7167,Italy,1987-05-03,http://en.wikipedia.org/wiki/1987_San_Marino_Grand_Prix
34,1987,3,spa,50.4372,5.97139,Belgium,1987-05-17,http://en.wikipedia.org/wiki/1987_Belgian_Grand_Prix
35,1987,4,monaco,43.7347,7.42056,Monaco,1987-05-31,http://en.wikipedia.org/wiki/1987_Monaco_Grand_Prix
36,1987,5,detroit,42.3298,-83.0401,USA,1987-06-21,http://en.wikipedia.org/wiki/1987_Detroit_Grand_Prix
37,1987,6,ricard,43.2506,5.79167,France,1987-07-05,http://en.wikipedia.org/wiki/1987_French_Grand_Prix
38,1987,7,silverstone,52.0786,-1.01694,UK,1987-07-12,http://en.wikipedia.org/wiki/1987_British_Grand_Prix
39,1987,8,hockenheimring,49.3278,8.56583,Germany,1987-07-26,http://en.wikipedia.org/wiki/1987_German_Grand_Prix
40,1987,9,hungaroring,47.5789,19.2486,Hungary,1987-08-09,http://en.wikipedia.org/wiki/1987_Hungarian_Grand_Prix
41,1987,10,osterreichring,47.2197,14.7647,Austria,1987-08-16,http://en.wikipedia.org/wiki/1987_Austrian_Grand_Prix
42,1987,11,monza,45.6156,9.28111,Italy,1987-09-06,http://en.wikipedia.org/wiki/1987_Italian_Grand_Prix
43,1987,12,estoril,38.7506,-9.39417,Portugal,1987-09-20,http://en.wikipedia.org/wiki/1987_Portuguese_Grand_Prix
44,1987,13,jerez,36.7083,-6.03417,Spain,1987-09-27,http://en.wikipedia.org/wiki/1987_Spanish_Grand_Prix
45,1987,14,rodriguez,19.4042,-99.0907,Mexico,1987-10-18,http://en.wikipedia.org/wiki/1987_Mexican_Grand_Prix
46,1987,15,suzuka,34.8431,136.541,Japan,1987-11-01,http://en.wikipedia.org/wiki/1987_Japanese_Grand_Prix
47,1987,16,adelaide,-34.9272,138.617,Australia,1987-11-15,http://en.wikipedia.org/wiki/1987_Australian_Grand_Prix
48,1988,1,jacarepagua,-22.9756,-43.395,Brazil,1988-04-03,http://en.wikipedia.org/wiki/1988_Brazilian_Grand_Prix
49,1988,2,imola,44.3439,11.7167,Italy,1988-05-01,http://en.wikipedia.org/wiki/1988_San_Marino_Grand_Prix
50,1988,3,monaco,43.7347,7.42056,Monaco,1988-05-15,http://en.wikipedia.org/wiki/1988_Monaco_Grand_Prix
51,1988,4,rodriguez,19.4042,-99.0907,Mexico,1988-05-29,http://en.wikipedia.org/wiki/1988_Mexican_Grand_Prix
52,1988,5,villeneuve,45.5,-73.5228,Canada,1988-06-12,http://en.wikipedia.org/wiki/1988_Canadian_Grand_Prix
53,1988,6,detroit,42.3298,-83.0401,USA,1988-06-19,http://en.wikipedia.org/wiki/1988_Detroit_Grand_Prix
54,1988,7,ricard,43.2506,5.79167,France,1988-07-03,http://en.wikipedia.org/wiki/1988_French_Grand_Prix
55,1988,8,silverstone,52.0786,-1.01694,UK,1988-07-10,http://en.wikipedia.org/wiki/1988_British_Grand_Prix
56,1988,9,hockenheimring,49.3278,8.56583,Germany,1988-07-24,http://en.wikipedia.org/wiki/1988_German_Grand_Prix
57,1988,10,hungaroring,47.5789,19.2486,Hungary,1988-08-07,http://en.wikipedia.org/wiki/1988_Hungarian_Grand_Prix
58,1988,11,spa,50.4372,5.97139,Belgium,1988-08-28,http://en.wikipedia.org/wiki/1988_Belgian_Grand_Prix
59,1988,12,monza,45.6156,9.28111,Italy,1988-09-11,http://en.wikipedia.org/wiki/1988_Italian_Grand_Prix
60,1988,13,estoril,38.7506,-9.39417,Portugal,1988-09-25,http://en.wikipedia.org/wiki/1988_Portuguese_Grand_Prix
61,1988,14,jerez,36.7083,-6.03417,Spain,1988-10-02,http://en.wikipedia.org/wiki/1988_Spanish_Grand_Prix
62,1988,15,suzuka,34.8431,136.541,Japan,1988-10-30,http://en.wikipedia.org/wiki/1988_Japanese_Grand_Prix
63,1988,16,adelaide,-34.9272,138.617,Australia,1988-11-13,http://en.wikipedia.org/wiki/1988_Australian_Grand_Prix
64,1989,1,jacarepagua,-22.9756,-43.395,Brazil,1989-03-26,http://en.wikipedia.org/wiki/1989_Brazilian_Grand_Prix
65,1989,2,imola,44.3439,11.7167,Italy,1989-04-23,http://en.wikipedia.org/wiki/1989_San_Marino_Grand_Prix
66,1989,3,monaco,43.7347,7.42056,Monaco,1989-05-07,http://en.wikipedia.org/wiki/1989_Monaco_Grand_Prix
67,1989,4,rodriguez,19.4042,-99.0907,Mexico,1989-05-28,http://en.wikipedia.org/wiki/1989_Mexican_Grand_Prix
68,1989,5,phoenix,33.4479,-112.075,USA,1989-06-04,http://en.wikipedia.org/wiki/1989_United_States_Grand_Prix
69,1989,6,villeneuve,45.5,-73.5228,Canada,1989-06-18,http://en.wikipedia.org/wiki/1989_Canadian_Grand_Prix
70,1989,7,ricard,43.2506,5.79167,France,1989-07-09,http://en.wikipedia.org/wiki/1989_French_Grand_Prix
71,1989,8,silverstone,52.0786,-1.01694,UK,1989-07-16,http://en.wikipedia.org/wiki/1989_British_Grand_Prix
72,1989,9,hockenheimring,49.3278,8.56583,Germany,1989-07-30,http://en.wikipedia.org/wiki/1989_German_Grand_Prix
73,1989,10,hungaroring,47.5789,19.2486,Hungary,1989-08-13,http://en.wikipedia.org/wiki/1989_Hungarian_Grand_Prix
74,1989,11,spa,50.4372,5.97139,Belgium,1989-08-27,http://en.wikipedia.org/wiki/1989_Belgian_Grand_Prix
75,1989,12,monza,45.6156,9.28111,Italy,1989-09-10,http://en.wikipedia.org/wiki/1989_Italian_Grand_Prix
76,1989,13,estoril,38.7506,-9.39417,Portugal,1989-09-24,http://en.wikipedia.org/wiki/1989_Portuguese_Grand_Prix
77,1989,14,jerez,36.7083,-6.03417,Spain,1989-10-01,http://en.wikipedia.org/wiki/1989_Spanish_Grand_Prix
78,1989,15,suzuka,34.8431,136.541,Japan,1989-10-22,http://en.wikipedia.org/wiki/1989_Japanese_Grand_Prix
79,1989,16,adelaide,-34.9272,138.617,Australia,1989-11-05,http://en.wikipedia.org/wiki/1989_Australian_Grand_Prix
80,1990,1,phoenix,33.4479,-112.075,USA,1990-03-11,http://en.wikipedia.org/wiki/1990_United_States_Grand_Prix
81,1990,2,interlagos,-23.7036,-46.6997,Brazil,1990-03-25,http://en.wikipedia.org/wiki/1990_Brazilian_Grand_Prix
82,1990,3,imola,44.3439,11.7167,Italy,1990-05-13,http://en.wikipedia.org/wiki/1990_San_Marino_Grand_Prix
83,1990,4,monaco,43.7347,7.42056,Monaco,1990-05-27,http://en.wikipedia.org/wiki/1990_Monaco_Grand_Prix
84,1990,5,villeneuve,45.5,-73.5228,Canada,1990-06-10,http://en.wikipedia.org/wiki/1990_Canadian_Grand_Prix
85,1990,6,rodriguez,19.4042,-99.0907,Mexico,1990-06-24,http://en.wikipedia.org/wiki/1990_Mexican_Grand_Prix
86,1990,7,ricard,43.2506,5.79167,France,1990-07-08,http://en.wikipedia.org/wiki/1990_French_Grand_Prix
87,1990,8,silverstone,52.0786,-1.01694,UK,1990-07-15,http://en.wikipedia.org/wiki/1990_British_Grand_Prix
88,1990,9,hockenheimring,49.3278,8.56583,Germany,1990-07-29,http://en.wikipedia.org/wiki/1990_German_Grand_Prix
89,1990,10,hungaroring,47.5789,19.2486,Hungary,1990-08-12,http://en.wikipedia.org/wiki/1990_Hungarian_Grand_Prix
90,1990,11,spa,50.4372,5.97139,Belgium,1990-08-26,http://en.wikipedia.org/wiki/1990_Belgian_Grand_Prix
91,1990,12,monza,45.6156,9.28111,Italy,1990-09-09,http://en.wikipedia.org/wiki/1990_Italian_Grand_Prix
92,1990,13,estoril,38.7506,-9.39417,Portugal,1990-09-23,http://en.wikipedia.org/wiki/1990_Portuguese_Grand_Prix
93,1990,14,jerez,36.7083,-6.03417,Spain,1990-09-30,http://en.wikipedia.org/wiki/1990_Spanish_Grand_Prix
94,1990,15,suzuka,34.8431,136.541,Japan,1990-10-21,http://en.wikipedia.org/wiki/1990_Japanese_Grand_Prix
95,1990,16,adelaide,-34.9272,138.617,Australia,1990-11-04,http://en.wikipedia.org/wiki/1990_Australian_Grand_Prix
96,1991,1,phoenix,33.4479,-112.075,USA,1991-03-10,http://en.wikipedia.org/wiki/1991_United_States_Grand_Prix
97,1991,2,interlagos,-23.7036,-46.6997,Brazil,1991-03-24,http://en.wikipedia.org/wiki/1991_Brazilian_Grand_Prix
98,1991,3,imola,44.3439,11.7167,Italy,1991-04-28,http://en.wikipedia.org/wiki/1991_San_Marino_Grand_Prix
99,1991,4,monaco,43.7347,7.42056,Monaco,1991-05-12,http://en.wikipedia.org/wiki/1991_Monaco_Grand_Prix
100,1991,5,villeneuve,45.5,-73.5228,Canada,1991-06-02,http://en.wikipedia.org/wiki/1991_Canadian_Grand_Prix
101,1991,6,rodriguez,19.4042,-99.0907,Mexico,1991-06-16,http://en.wikipedia.org/wiki/1991_Mexican_Grand_Prix
102,1991,7,magny_cours,46.8642,3.16361,France,1991-07-07,http://en.wikipedia.org/wiki/1991_French_Grand_Prix
103,1991,8,silverstone,52.0786,-1.01694,UK,1991-07-14,http://en.wikipedia.org/wiki/1991_British_Grand_Prix
104,1991,9,hockenheimring,49.3278,8.56583,Germany,1991-07-28,http://en.wikipedia.org/wiki/1991_German_Grand_Prix
105,1991,10,hungaroring,47.5789,19.2486,Hungary,1991-08-11,http://en.wikipedia.org/wiki/1991_Hungarian_Grand_Prix
106,1991,11,spa,50.4372,5.97139,Belgium,1991-08-25,http://en.wikipedia.org/wiki/1991_Belgian_Grand_Prix
107,1991,12,monza,45.6156,9.28111,Italy,1991-09-08,http://en.wikipedia.org/wiki/1991_Italian_Grand_Prix
108,1991,13,estoril,38.7506,-9.39417,Portugal,1991-09-22,http://en.wikipedia.org/wiki/1991_Portuguese_Grand_Prix
109,1991,14,catalunya,41.57,2.26111,Spain,1991-09-29,http://en.wikipedia.org/wiki/1991_Spanish_Grand_Prix
110,1991,15,suzuka,34.8431,136.541,Japan,1991-10-20,http://en.wikipedia.org/wiki/1991_Japanese_Grand_Prix
111,1991,16,adelaide,-34.9272,138.617,Australia,1991-11-03,http://en.wikipedia.org/wiki/1991_Australian_Grand_Prix
112,1992,1,kyalami,-25.9894,28.0767,South Africa,1992-03-01,http://en.wikipedia.org/wiki/1992_South_African_Grand_Prix
113,1992,2,rodriguez,19.4042,-99.0907,Mexico,1992-03-22,http://en.wikipedia.org/wiki/1992_Mexican_Grand_Prix
114,1992,3,interlagos,-23.7036,-46.6997,Brazil,1992-04-05,http://en.wikipedia.org/wiki/1992_Brazilian_Grand_Prix
115,1992,4,catalunya,41.57,2.26111,Spain,1992-05-03,http://en.wikipedia.org/wiki/1992_Spanish_Grand_Prix
116,1992,5,imola,44.3439,11.7167,Italy,1992-05-17,http://en.wikipedia.org/wiki/1992_San_Marino_Grand_Prix
117,1992,6,monaco,43.7347,7.42056,Monaco,1992-05-31,http://en.wikipedia.org/wiki/1992_Monaco_Grand_Prix
118,1992,7,villeneuve,45.5,-73.5228,Canada,1992-06-14,http://en.wikipedia.org/wiki/1992_Canadian_Grand_Prix
119,1992,8,magny_cours,46.8642,3.16361,France,1992-07-05,http://en.wikipedia.org/wiki/1992_French_Grand_Prix
120,1992,9,silverstone,52.0786,-1.01694,UK,1992-07-12,http://en.wikipedia.org/wiki/1992_British_Grand_Prix
121,1992,10,hockenheimring,49.3278,8.56583,Germany,1992-07-26,http://en.wikipedia.org/wiki/1992_German_Grand_Prix
122,1992,11,hungaroring,47.5789,19.2486,Hungary,1992-08-16,http://en.wikipedia.org/wiki/1992_Hungarian_Grand_Prix
123,1992,12,spa,50.4372,5.97139,Belgium,1992-08-30,http://en.wikipedia.org/wiki/1992_Belgian_Grand_Prix
124,1992,13,monza,45.6156,9.28111,Italy,1992-09-13,http://en.wikipedia.org/wiki/1992_Italian_Grand_Prix
125,1992,14,estoril,38.7506,-9.39417,Portugal,1992-09-27,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix
126,1992,15,suzuka,34.8431,136.541,Japan,1992-10-25,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix
127,1992,16,adelaide,-34.9272,138.617,Australia,1992-11-08,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix
128,1993,1,kyalami,-25.9894,28.0767,South Africa,1993-03-14,http://en.wikipedia.org/wiki/1993_South_African_Grand_Prix
129,1993,2,interlagos,-23.7036,-46.6997,Brazil,1993-03-28,http://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix
130,1993,3,donington,52.8306,-1.37528,UK,1993-04-11,http://en.wikipedia.org/wiki/1993_European_Grand_Prix
131,1993,4,imola,44.3439,11.7167,Italy,1993-04-25,http://en.wikipedia.org/wiki/1993_San_Marino_Grand_Prix
132,1993,5,catalunya,41.57,2.26111,Spain,1993-05-09,http://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix
133,1993,6,monaco,43.7347,7.42056,Monaco,1993-05-23,http://en.wikipedia.org/wiki/1993_Monaco_Grand_Prix
134,1993,7,villeneuve,45.5,-73.5228,Canada,1993-06-13,http://en.wikipedia.org/wiki/1993_Canadian_Grand_Prix
135,1993,8,magny_cours,46.8642,3.16361,France,1993-07-04,http://en.wikipedia.org/wiki/1993_French_Grand_Prix
136,1993,9,silverstone,52.0786,-1.01694,UK,1993-07-11,http://en.wikipedia.org/wiki/1993_British_Grand_Prix
137,1993,10,hockenheimring,49.3278,8.56583,Germany,1993-07-25,http://en.wikipedia.org/wiki/1993_German_Grand_Prix
138,1993,11,hungaroring,47.5789,19.2486,Hungary,1993-08-15,http://en.wikipedia.org/wiki/1993_Hungarian_Grand_Prix
139,1993,12,spa,50.4372,5.97139,Belgium,1993-08-29,http://en.wikipedia.org/wiki/1993_Belgian_Grand_Prix
140,1993,13,monza,45.6156,9.28111,Italy,1993-09-12,http://en.wikipedia.org/wiki/1993_Italian_Grand_Prix
